title,description,timestamp,concat,relevance,score
What to Watch at Trump and Xi’s U.S.-China Summit,Here’s what to know about the biggest sources of tension in U.S.-China relations before the first summit in Beijing in nine years between the nations’ leaders.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=1, tm_sec=41, tm_wday=2, tm_yday=133, tm_isdst=0)",What to Watch at Trump and Xi’s U.S.-China Summit | Here’s what to know about the biggest sources of tension in U.S.-China relations before the first summit in Beijing in nine years between the nations’ leaders.,-1,0.7349457144737244
"Eric Trump, Who Runs the Family Business, Hops Along on the Plane to China",The president’s middle son is said to be joining his father in a “personal capacity” rather than to make business deals.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=18, tm_sec=44, tm_wday=2, tm_yday=133, tm_isdst=0)","Eric Trump, Who Runs the Family Business, Hops Along on the Plane to China | The president’s middle son is said to be joining his father in a “personal capacity” rather than to make business deals.",-1,0.944468080997467
"Chinese Firms Plot Secret Arms Sales to Iran, U.S. Officials Say",The effort involves plans to send weapons through other countries in an effort to hide the origins of the shipments.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=6, tm_sec=5, tm_wday=2, tm_yday=133, tm_isdst=0)","Chinese Firms Plot Secret Arms Sales to Iran, U.S. Officials Say | The effort involves plans to send weapons through other countries in an effort to hide the origins of the shipments.",1,0.9696973562240601
"France Bars 1,700 Cruise Passengers From Leaving Ship After Dozens Get Sick",Around 50 people so far have symptoms “consistent with an acute gastrointestinal infection” on the Ambassador Cruise Line ship Ambition.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=44, tm_sec=56, tm_wday=2, tm_yday=133, tm_isdst=0)","France Bars 1,700 Cruise Passengers From Leaving Ship After Dozens Get Sick | Around 50 people so far have symptoms “consistent with an acute gastrointestinal infection” on the Ambassador Cruise Line ship Ambition.",-1,0.6981229186058044
"Trump and Xi: Beneath the Pomp and Niceties, a Geopolitical Rivalry",The relationship between the two leaders is marked just as much by mistrust and confrontation as it is by niceties.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=53, tm_sec=52, tm_wday=2, tm_yday=133, tm_isdst=0)","Trump and Xi: Beneath the Pomp and Niceties, a Geopolitical Rivalry | The relationship between the two leaders is marked just as much by mistrust and confrontation as it is by niceties.",1,0.7207695245742798
"Fuel Prices Drive Sales of E.V.s, Just Not in the U.S.","Electric vehicle sales have soared in Europe and much of the rest of the world, but Americans are still hesitant.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=29, tm_sec=56, tm_wday=2, tm_yday=133, tm_isdst=0)","Fuel Prices Drive Sales of E.V.s, Just Not in the U.S. | Electric vehicle sales have soared in Europe and much of the rest of the world, but Americans are still hesitant.",-1,0.9895676970481873
A Physicist Who Thinks in Poetry from the Cosmic Edge,"In her second pop-science book, theoretical cosmologist Chanda Prescod-Weinstein returns to her celestial and cultural roots.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=4, tm_sec=1, tm_wday=2, tm_yday=133, tm_isdst=0)","A Physicist Who Thinks in Poetry from the Cosmic Edge | In her second pop-science book, theoretical cosmologist Chanda Prescod-Weinstein returns to her celestial and cultural roots.",0,0.20543299615383148
French Hantavirus Patient Is Critically Ill as Outbreak Reaches 11 Cases,"The woman, who was a passenger on the MV Hondius, was breathing with the help of an artificial lung, officials in Paris said.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=9, tm_sec=0, tm_wday=2, tm_yday=133, tm_isdst=0)","French Hantavirus Patient Is Critically Ill as Outbreak Reaches 11 Cases | The woman, who was a passenger on the MV Hondius, was breathing with the help of an artificial lung, officials in Paris said.",-1,0.4884074926376343
"As Starmer Rejects Calls to Resign, Some Make Comparisons to President Biden","In Britain, some argue that Prime Minister Keir Starmer, by rejecting calls to step aside, risks repeating the mistakes of President Joseph R. Biden Jr.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=10, tm_min=1, tm_sec=10, tm_wday=2, tm_yday=133, tm_isdst=0)","As Starmer Rejects Calls to Resign, Some Make Comparisons to President Biden | In Britain, some argue that Prime Minister Keir Starmer, by rejecting calls to step aside, risks repeating the mistakes of President Joseph R. Biden Jr.",0,0.9688736796379089
What to Know About the Federal Gas Tax Trump Wants to Suspend,"President Trump said he would like to suspend the 18.4-cent-a-gallon tax, but it’s a move that may save drivers only a few dollars a month.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=3, tm_sec=51, tm_wday=2, tm_yday=133, tm_isdst=0)","What to Know About the Federal Gas Tax Trump Wants to Suspend | President Trump said he would like to suspend the 18.4-cent-a-gallon tax, but it’s a move that may save drivers only a few dollars a month.",-1,0.5285922288894653
Trump Tower Deal in Australia Falls Apart And a Blame Game Begins,The property developer says the war in Iran and Trump’s “unpopularity” contributed to the collapse of a plan for a 91-story building on the Gold Coast.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=5, tm_sec=40, tm_wday=2, tm_yday=133, tm_isdst=0)",Trump Tower Deal in Australia Falls Apart And a Blame Game Begins | The property developer says the war in Iran and Trump’s “unpopularity” contributed to the collapse of a plan for a 91-story building on the Gold Coast.,1,0.9938697218894958
Europe Tries a Trumpian Tactic With Trump: No Apologies,"Stuck with the fallout from America’s war in Iran, European leaders have criticized the president publicly. When he’s been angered, they haven’t backed down.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=53, tm_sec=29, tm_wday=2, tm_yday=133, tm_isdst=0)","Europe Tries a Trumpian Tactic With Trump: No Apologies | Stuck with the fallout from America’s war in Iran, European leaders have criticized the president publicly. When he’s been angered, they haven’t backed down.",-1,0.4745694100856781
Trump’s Shrinking Ambitions on China,The president came into office planning harsher trade moves on China than on the rest of the world. Here’s why he’s had to scale them back.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=20, tm_sec=3, tm_wday=2, tm_yday=133, tm_isdst=0)",Trump’s Shrinking Ambitions on China | The president came into office planning harsher trade moves on China than on the rest of the world. Here’s why he’s had to scale them back.,1,0.8357632160186768
How China Could Wield Its Control of Rare Earths Against Trump,A central question hanging over the summit this week is whether China will agree to extend a temporary postponement of even tougher rare-earth export controls.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=4, tm_min=0, tm_sec=16, tm_wday=2, tm_yday=133, tm_isdst=0)",How China Could Wield Its Control of Rare Earths Against Trump | A central question hanging over the summit this week is whether China will agree to extend a temporary postponement of even tougher rare-earth export controls.,-1,0.9848309755325317
U.S. and Mexican Officials Deny C.I.A. Had Lethal Role in Mexico Operation,The denials came after a CNN report claimed the C.I.A. had been involved in the assassination of a cartel member inside Mexico earlier this year.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=47, tm_sec=33, tm_wday=2, tm_yday=133, tm_isdst=0)",U.S. and Mexican Officials Deny C.I.A. Had Lethal Role in Mexico Operation | The denials came after a CNN report claimed the C.I.A. had been involved in the assassination of a cartel member inside Mexico earlier this year.,-1,0.9358375072479248
Dominican Republic Agrees to Take Third-Country Migrants Deported by U.S.,"The agreement, which reverses President Luis Abinader’s previous stance, is part of President Trump’s efforts to find governments willing to accept deportees.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=1, tm_min=54, tm_sec=4, tm_wday=2, tm_yday=133, tm_isdst=0)","Dominican Republic Agrees to Take Third-Country Migrants Deported by U.S. | The agreement, which reverses President Luis Abinader’s previous stance, is part of President Trump’s efforts to find governments willing to accept deportees.",-1,0.43681132793426514
Battle Over the Strait of Hormuz Leaves Safe Passage a Gamble,"Vessels are traveling without transmitting critical information meant to keep the waters safe, maritime intelligence experts say.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=0, tm_min=50, tm_sec=39, tm_wday=2, tm_yday=133, tm_isdst=0)","Battle Over the Strait of Hormuz Leaves Safe Passage a Gamble | Vessels are traveling without transmitting critical information meant to keep the waters safe, maritime intelligence experts say.",-1,0.9924740791320801
Israeli Report Finds That Sexual Violence by Hamas Was Widespread,"A two-year investigation by a team of researchers in Israel concluded that sexual violence by Hamas and its allies was widespread during and after the Oct. 7, 2023, attack.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=22, tm_min=29, tm_sec=5, tm_wday=1, tm_yday=132, tm_isdst=0)","Israeli Report Finds That Sexual Violence by Hamas Was Widespread | A two-year investigation by a team of researchers in Israel concluded that sexual violence by Hamas and its allies was widespread during and after the Oct. 7, 2023, attack.",-1,0.544815719127655
"Earthquake Shakes Tehran, Where Nerves Are Already Strained by Iran War",Iranian media said a moderate quake had shaken the capital around midnight local time.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=21, tm_sec=36, tm_wday=2, tm_yday=133, tm_isdst=0)","Earthquake Shakes Tehran, Where Nerves Are Already Strained by Iran War | Iranian media said a moderate quake had shaken the capital around midnight local time.",-1,0.9983804821968079
U.S. Intelligence Shows Iran Retains Substantial Missile Capabilities,"Secret new assessments say Iran has operational access to 30 of its 33 missile sites along the Strait of Hormuz, suggesting that its military remains far stronger than President Trump has asserted.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=23, tm_min=1, tm_sec=56, tm_wday=1, tm_yday=132, tm_isdst=0)","U.S. Intelligence Shows Iran Retains Substantial Missile Capabilities | Secret new assessments say Iran has operational access to 30 of its 33 missile sites along the Strait of Hormuz, suggesting that its military remains far stronger than President Trump has asserted.",-1,0.9661309719085693
A Shift in Ukraine,The Russian military’s progress has slowed to a crawl and Vladimir Putin appears to be under increasing pressure.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=13, tm_min=14, tm_sec=26, tm_wday=2, tm_yday=133, tm_isdst=0)",A Shift in Ukraine | The Russian military’s progress has slowed to a crawl and Vladimir Putin appears to be under increasing pressure.,-1,0.9865893721580505
"U.S. Might Restart Strikes on Iran, Trump and Hegseth Warn","With talks at an impasse, both sides are holding to positions their opponents call unacceptable, while the economic pain caused by the Strait of Hormuz blockade continues to grow.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=0, tm_sec=6, tm_wday=1, tm_yday=132, tm_isdst=0)","U.S. Might Restart Strikes on Iran, Trump and Hegseth Warn | With talks at an impasse, both sides are holding to positions their opponents call unacceptable, while the economic pain caused by the Strait of Hormuz blockade continues to grow.",-1,0.9913205504417419
"Drones Are Leading Cause of Civilian Deaths in Sudan War, U.N. Says","The U.N. documented 880 deaths from strikes carried out by Sudan’s military or its paramilitary enemy, the Rapid Support Forces, between January and April.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=20, tm_min=8, tm_sec=20, tm_wday=1, tm_yday=132, tm_isdst=0)","Drones Are Leading Cause of Civilian Deaths in Sudan War, U.N. Says | The U.N. documented 880 deaths from strikes carried out by Sudan’s military or its paramilitary enemy, the Rapid Support Forces, between January and April.",1,0.3729240596294403
Why Keir Starmer Remains in Deep Peril After Staving Off Calls for Resignation,"Prime Minister Keir Starmer seemed to have won a temporary reprieve on Tuesday after daring his rivals to challenge him, but the underlying problems with his leadership remain.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=14, tm_sec=8, tm_wday=1, tm_yday=132, tm_isdst=0)","Why Keir Starmer Remains in Deep Peril After Staving Off Calls for Resignation | Prime Minister Keir Starmer seemed to have won a temporary reprieve on Tuesday after daring his rivals to challenge him, but the underlying problems with his leadership remain.",-1,0.9524562358856201
Trump and Xi Enter China Summit Distracted by Iran War,"The war in Iran has cast a shadow of uncertainty on both superpowers, dimming early hopes that they could begin to address the larger issues that have frayed their relationship.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=19, tm_min=30, tm_sec=7, tm_wday=1, tm_yday=132, tm_isdst=0)","Trump and Xi Enter China Summit Distracted by Iran War | The war in Iran has cast a shadow of uncertainty on both superpowers, dimming early hopes that they could begin to address the larger issues that have frayed their relationship.",-1,0.9947282671928406
Kuwait Accuses Iran of Trying to Infiltrate Its Territory,Kuwait’s interior ministry said a group of armed Iranians arrived at Bubiyan Island in the Persian Gulf on May 1 aboard a rented fishing boat and exchanged fire with Kuwaiti soldiers.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=19, tm_min=56, tm_sec=39, tm_wday=1, tm_yday=132, tm_isdst=0)",Kuwait Accuses Iran of Trying to Infiltrate Its Territory | Kuwait’s interior ministry said a group of armed Iranians arrived at Bubiyan Island in the Persian Gulf on May 1 aboard a rented fishing boat and exchanged fire with Kuwaiti soldiers.,-1,0.9652660489082336
Nigerian Military Accused of War Crimes After Deadly Market Airstrikes,"A military spokesman confirmed the bombing in Zamfara state, but said there was no verifiable evidence of civilian casualties.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=47, tm_sec=20, tm_wday=1, tm_yday=132, tm_isdst=0)","Nigerian Military Accused of War Crimes After Deadly Market Airstrikes | A military spokesman confirmed the bombing in Zamfara state, but said there was no verifiable evidence of civilian casualties.",-1,0.7361745238304138
Macron Makes a Bid for New Partners in Africa,The French president visited Kenya this week for a summit designed to build stronger ties with Anglophone African countries.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=12, tm_min=52, tm_sec=4, tm_wday=1, tm_yday=132, tm_isdst=0)",Macron Makes a Bid for New Partners in Africa | The French president visited Kenya this week for a summit designed to build stronger ties with Anglophone African countries.,-1,0.45394057035446167
The Iran War Is Taking the Color Out of Japan’s Best-Known Snack Bags,"The food giant Calbee said shortages of naphtha, a crude-oil derivative used in inks, were forcing it to switch to black-and-white packaging for its salty products.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=48, tm_sec=52, tm_wday=1, tm_yday=132, tm_isdst=0)","The Iran War Is Taking the Color Out of Japan’s Best-Known Snack Bags | The food giant Calbee said shortages of naphtha, a crude-oil derivative used in inks, were forcing it to switch to black-and-white packaging for its salty products.",1,0.543080747127533
UK’s Starmer Faces Calls to Resign. Here Are 4 Ways He Could Respond.,Prime Minister Keir Starmer vowed to continue in office on Tuesday morning. It’s one of several possible paths for the embattled leader after heavy losses in local elections.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=29, tm_sec=26, tm_wday=1, tm_yday=132, tm_isdst=0)",UK’s Starmer Faces Calls to Resign. Here Are 4 Ways He Could Respond. | Prime Minister Keir Starmer vowed to continue in office on Tuesday morning. It’s one of several possible paths for the embattled leader after heavy losses in local elections.,-1,0.7539615631103516
Who Might Challenge Starmer in a Leadership Contest?,"Health Secretary Wes Streeting, Mayor of Greater Manchester Andy Burnham and former deputy prime minister Angela Rayner are among the possible contenders.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=12, tm_min=28, tm_sec=35, tm_wday=1, tm_yday=132, tm_isdst=0)","Who Might Challenge Starmer in a Leadership Contest? | Health Secretary Wes Streeting, Mayor of Greater Manchester Andy Burnham and former deputy prime minister Angela Rayner are among the possible contenders.",-1,0.6660404205322266
China Sought Access to Anthropic’s Newest A.I. The Answer Was No.,The latest artificial intelligence models from Anthropic and OpenAI are extending the United States’ lead over China and intensifying the rivalry between the countries.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=15, tm_min=36, tm_sec=8, tm_wday=1, tm_yday=132, tm_isdst=0)",China Sought Access to Anthropic’s Newest A.I. The Answer Was No. | The latest artificial intelligence models from Anthropic and OpenAI are extending the United States’ lead over China and intensifying the rivalry between the countries.,1,0.474553644657135
Putin’s Credibility Has Suffered in the Iran War. Or Has It?,"Despite its long slog in Ukraine and the loss of former allies like Syria, Russia is benefiting from costly energy, a clever narrative and America’s own failure to achieve a quick victory.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=14, tm_min=22, tm_sec=33, tm_wday=1, tm_yday=132, tm_isdst=0)","Putin’s Credibility Has Suffered in the Iran War. Or Has It? | Despite its long slog in Ukraine and the loss of former allies like Syria, Russia is benefiting from costly energy, a clever narrative and America’s own failure to achieve a quick victory.",-1,0.8600661754608154
Russia Keeps Attacking U.S. Firms in Ukraine. The White House Is Silent.,"Facilities tied to Coca-Cola, Cargill, Mondelez and others appear to have been deliberately hit. The Trump administration’s muted response has raised concerns.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=46, tm_sec=19, tm_wday=1, tm_yday=132, tm_isdst=0)","Russia Keeps Attacking U.S. Firms in Ukraine. The White House Is Silent. | Facilities tied to Coca-Cola, Cargill, Mondelez and others appear to have been deliberately hit. The Trump administration’s muted response has raised concerns.",1,0.9979602694511414
Video Shows Philippine Senator Outrunning Agents and Avoiding I.C.C. Warrant,"Video shows Senator Ronald dela Rosa, who is wanted by the International Criminal Court over Rodrigo Duterte’s drug war, dashing into the Philippine Senate.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=14, tm_min=33, tm_sec=28, tm_wday=1, tm_yday=132, tm_isdst=0)","Video Shows Philippine Senator Outrunning Agents and Avoiding I.C.C. Warrant | Video shows Senator Ronald dela Rosa, who is wanted by the International Criminal Court over Rodrigo Duterte’s drug war, dashing into the Philippine Senate.",-1,0.8526065349578857
Is France’s Centrist Leader Trying to Weatherproof It From the Far Right?,"President Emmanuel Macron has appointed a string of allies who will remain in critical state positions after next year’s presidential election, and who could thwart a far-right successor.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=4, tm_min=1, tm_sec=6, tm_wday=1, tm_yday=132, tm_isdst=0)","Is France’s Centrist Leader Trying to Weatherproof It From the Far Right? | President Emmanuel Macron has appointed a string of allies who will remain in critical state positions after next year’s presidential election, and who could thwart a far-right successor.",-1,0.9643807411193848
Xi Is Poised to Press Trump on Arms Sales to Taiwan During China Summit,Beijing has called Taiwan the “core of China’s core interests.” Xi Jinping is likely to focus on getting President Trump to slow approval of more weapons for the self-governing island.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=6, tm_min=21, tm_sec=56, tm_wday=1, tm_yday=132, tm_isdst=0)",Xi Is Poised to Press Trump on Arms Sales to Taiwan During China Summit | Beijing has called Taiwan the “core of China’s core interests.” Xi Jinping is likely to focus on getting President Trump to slow approval of more weapons for the self-governing island.,1,0.9224610924720764
Altar Boy Who Called Out Sexual Abuse in the Philippines Is Now a Lawyer for Victims,Michal Gatchalian dared to speak out against sexual abuse by a priest in the devoutly Catholic Philippines. He’s now a lawyer helping other victims.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=6, tm_min=8, tm_sec=4, tm_wday=1, tm_yday=132, tm_isdst=0)",Altar Boy Who Called Out Sexual Abuse in the Philippines Is Now a Lawyer for Victims | Michal Gatchalian dared to speak out against sexual abuse by a priest in the devoutly Catholic Philippines. He’s now a lawyer helping other victims.,0,0.4956248998641968
Passengers on Hantavirus Cruise Ship Will Disembark in Tenerife and Return to Home Countries,"The cruise ship will arrive on the island of Tenerife, part of the Canary Islands of Spain, officials said. All of the passengers will then be evacuated to their home countries.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=10, tm_hour=0, tm_min=38, tm_sec=46, tm_wday=6, tm_yday=130, tm_isdst=0)","Passengers on Hantavirus Cruise Ship Will Disembark in Tenerife and Return to Home Countries | The cruise ship will arrive on the island of Tenerife, part of the Canary Islands of Spain, officials said. All of the passengers will then be evacuated to their home countries.",-1,0.6907092928886414
Training for a Marathon in Kenya,Our reporter John Eligon runs in the Great Rift Valley of Kenya to experience why it’s the mecca of distance running in the world.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=11, tm_hour=18, tm_min=24, tm_sec=13, tm_wday=0, tm_yday=131, tm_isdst=0)",Training for a Marathon in Kenya | Our reporter John Eligon runs in the Great Rift Valley of Kenya to experience why it’s the mecca of distance running in the world.,0,0.0568692572414875
