,title,description,timestamp,concat,relevant
34,A Shift in Ukraine,The Russian military’s progress has slowed to a crawl and Vladimir Putin appears to be under increasing pressure.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=13, tm_min=14, tm_sec=26, tm_wday=2, tm_yday=133, tm_isdst=0)",A Shift in Ukraine | The Russian military’s progress has slowed to a crawl and Vladimir Putin appears to be under increasing pressure.,-1
35,"U.S. Might Restart Strikes on Iran, Trump and Hegseth Warn","With talks at an impasse, both sides are holding to positions their opponents call unacceptable, while the economic pain caused by the Strait of Hormuz blockade continues to grow.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=0, tm_sec=6, tm_wday=1, tm_yday=132, tm_isdst=0)","U.S. Might Restart Strikes on Iran, Trump and Hegseth Warn | With talks at an impasse, both sides are holding to positions their opponents call unacceptable, while the economic pain caused by the Strait of Hormuz blockade continues to grow.",-1
36,"Drones Are Leading Cause of Civilian Deaths in Sudan War, U.N. Says","The U.N. documented 880 deaths from strikes carried out by Sudan’s military or its paramilitary enemy, the Rapid Support Forces, between January and April.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=20, tm_min=8, tm_sec=20, tm_wday=1, tm_yday=132, tm_isdst=0)","Drones Are Leading Cause of Civilian Deaths in Sudan War, U.N. Says | The U.N. documented 880 deaths from strikes carried out by Sudan’s military or its paramilitary enemy, the Rapid Support Forces, between January and April.",1
37,Why Keir Starmer Remains in Deep Peril After Staving Off Calls for Resignation,"Prime Minister Keir Starmer seemed to have won a temporary reprieve on Tuesday after daring his rivals to challenge him, but the underlying problems with his leadership remain.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=14, tm_sec=8, tm_wday=1, tm_yday=132, tm_isdst=0)","Why Keir Starmer Remains in Deep Peril After Staving Off Calls for Resignation | Prime Minister Keir Starmer seemed to have won a temporary reprieve on Tuesday after daring his rivals to challenge him, but the underlying problems with his leadership remain.",-1
38,Trump and Xi Enter China Summit Distracted by Iran War,"The war in Iran has cast a shadow of uncertainty on both superpowers, dimming early hopes that they could begin to address the larger issues that have frayed their relationship.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=19, tm_min=30, tm_sec=7, tm_wday=1, tm_yday=132, tm_isdst=0)","Trump and Xi Enter China Summit Distracted by Iran War | The war in Iran has cast a shadow of uncertainty on both superpowers, dimming early hopes that they could begin to address the larger issues that have frayed their relationship.",-1
39,Kuwait Accuses Iran of Trying to Infiltrate Its Territory,Kuwait’s interior ministry said a group of armed Iranians arrived at Bubiyan Island in the Persian Gulf on May 1 aboard a rented fishing boat and exchanged fire with Kuwaiti soldiers.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=19, tm_min=56, tm_sec=39, tm_wday=1, tm_yday=132, tm_isdst=0)",Kuwait Accuses Iran of Trying to Infiltrate Its Territory | Kuwait’s interior ministry said a group of armed Iranians arrived at Bubiyan Island in the Persian Gulf on May 1 aboard a rented fishing boat and exchanged fire with Kuwaiti soldiers.,-1
40,Nigerian Military Accused of War Crimes After Deadly Market Airstrikes,"A military spokesman confirmed the bombing in Zamfara state, but said there was no verifiable evidence of civilian casualties.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=21, tm_min=47, tm_sec=20, tm_wday=1, tm_yday=132, tm_isdst=0)","Nigerian Military Accused of War Crimes After Deadly Market Airstrikes | A military spokesman confirmed the bombing in Zamfara state, but said there was no verifiable evidence of civilian casualties.",-1
41,Macron Makes a Bid for New Partners in Africa,The French president visited Kenya this week for a summit designed to build stronger ties with Anglophone African countries.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=12, tm_min=52, tm_sec=4, tm_wday=1, tm_yday=132, tm_isdst=0)",Macron Makes a Bid for New Partners in Africa | The French president visited Kenya this week for a summit designed to build stronger ties with Anglophone African countries.,-1
42,The Iran War Is Taking the Color Out of Japan’s Best-Known Snack Bags,"The food giant Calbee said shortages of naphtha, a crude-oil derivative used in inks, were forcing it to switch to black-and-white packaging for its salty products.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=48, tm_sec=52, tm_wday=1, tm_yday=132, tm_isdst=0)","The Iran War Is Taking the Color Out of Japan’s Best-Known Snack Bags | The food giant Calbee said shortages of naphtha, a crude-oil derivative used in inks, were forcing it to switch to black-and-white packaging for its salty products.",1
43,UK’s Starmer Faces Calls to Resign. Here Are 4 Ways He Could Respond.,Prime Minister Keir Starmer vowed to continue in office on Tuesday morning. It’s one of several possible paths for the embattled leader after heavy losses in local elections.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=29, tm_sec=26, tm_wday=1, tm_yday=132, tm_isdst=0)",UK’s Starmer Faces Calls to Resign. Here Are 4 Ways He Could Respond. | Prime Minister Keir Starmer vowed to continue in office on Tuesday morning. It’s one of several possible paths for the embattled leader after heavy losses in local elections.,-1
44,Who Might Challenge Starmer in a Leadership Contest?,"Health Secretary Wes Streeting, Mayor of Greater Manchester Andy Burnham and former deputy prime minister Angela Rayner are among the possible contenders.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=12, tm_min=28, tm_sec=35, tm_wday=1, tm_yday=132, tm_isdst=0)","Who Might Challenge Starmer in a Leadership Contest? | Health Secretary Wes Streeting, Mayor of Greater Manchester Andy Burnham and former deputy prime minister Angela Rayner are among the possible contenders.",-1
45,China Sought Access to Anthropic’s Newest A.I. The Answer Was No.,The latest artificial intelligence models from Anthropic and OpenAI are extending the United States’ lead over China and intensifying the rivalry between the countries.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=15, tm_min=36, tm_sec=8, tm_wday=1, tm_yday=132, tm_isdst=0)",China Sought Access to Anthropic’s Newest A.I. The Answer Was No. | The latest artificial intelligence models from Anthropic and OpenAI are extending the United States’ lead over China and intensifying the rivalry between the countries.,1
46,Putin’s Credibility Has Suffered in the Iran War. Or Has It?,"Despite its long slog in Ukraine and the loss of former allies like Syria, Russia is benefiting from costly energy, a clever narrative and America’s own failure to achieve a quick victory.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=14, tm_min=22, tm_sec=33, tm_wday=1, tm_yday=132, tm_isdst=0)","Putin’s Credibility Has Suffered in the Iran War. Or Has It? | Despite its long slog in Ukraine and the loss of former allies like Syria, Russia is benefiting from costly energy, a clever narrative and America’s own failure to achieve a quick victory.",-1
47,Russia Keeps Attacking U.S. Firms in Ukraine. The White House Is Silent.,"Facilities tied to Coca-Cola, Cargill, Mondelez and others appear to have been deliberately hit. The Trump administration’s muted response has raised concerns.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=46, tm_sec=19, tm_wday=1, tm_yday=132, tm_isdst=0)","Russia Keeps Attacking U.S. Firms in Ukraine. The White House Is Silent. | Facilities tied to Coca-Cola, Cargill, Mondelez and others appear to have been deliberately hit. The Trump administration’s muted response has raised concerns.",1
48,Video Shows Philippine Senator Outrunning Agents and Avoiding I.C.C. Warrant,"Video shows Senator Ronald dela Rosa, who is wanted by the International Criminal Court over Rodrigo Duterte’s drug war, dashing into the Philippine Senate.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=14, tm_min=33, tm_sec=28, tm_wday=1, tm_yday=132, tm_isdst=0)","Video Shows Philippine Senator Outrunning Agents and Avoiding I.C.C. Warrant | Video shows Senator Ronald dela Rosa, who is wanted by the International Criminal Court over Rodrigo Duterte’s drug war, dashing into the Philippine Senate.",-1
49,Is France’s Centrist Leader Trying to Weatherproof It From the Far Right?,"President Emmanuel Macron has appointed a string of allies who will remain in critical state positions after next year’s presidential election, and who could thwart a far-right successor.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=4, tm_min=1, tm_sec=6, tm_wday=1, tm_yday=132, tm_isdst=0)","Is France’s Centrist Leader Trying to Weatherproof It From the Far Right? | President Emmanuel Macron has appointed a string of allies who will remain in critical state positions after next year’s presidential election, and who could thwart a far-right successor.",-1
50,Xi Is Poised to Press Trump on Arms Sales to Taiwan During China Summit,Beijing has called Taiwan the “core of China’s core interests.” Xi Jinping is likely to focus on getting President Trump to slow approval of more weapons for the self-governing island.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=6, tm_min=21, tm_sec=56, tm_wday=1, tm_yday=132, tm_isdst=0)",Xi Is Poised to Press Trump on Arms Sales to Taiwan During China Summit | Beijing has called Taiwan the “core of China’s core interests.” Xi Jinping is likely to focus on getting President Trump to slow approval of more weapons for the self-governing island.,1
51,Altar Boy Who Called Out Sexual Abuse in the Philippines Is Now a Lawyer for Victims,Michal Gatchalian dared to speak out against sexual abuse by a priest in the devoutly Catholic Philippines. He’s now a lawyer helping other victims.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=6, tm_min=8, tm_sec=4, tm_wday=1, tm_yday=132, tm_isdst=0)",Altar Boy Who Called Out Sexual Abuse in the Philippines Is Now a Lawyer for Victims | Michal Gatchalian dared to speak out against sexual abuse by a priest in the devoutly Catholic Philippines. He’s now a lawyer helping other victims.,0
52,Passengers on Hantavirus Cruise Ship Will Disembark in Tenerife and Return to Home Countries,"The cruise ship will arrive on the island of Tenerife, part of the Canary Islands of Spain, officials said. All of the passengers will then be evacuated to their home countries.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=10, tm_hour=0, tm_min=38, tm_sec=46, tm_wday=6, tm_yday=130, tm_isdst=0)","Passengers on Hantavirus Cruise Ship Will Disembark in Tenerife and Return to Home Countries | The cruise ship will arrive on the island of Tenerife, part of the Canary Islands of Spain, officials said. All of the passengers will then be evacuated to their home countries.",-1
53,Training for a Marathon in Kenya,Our reporter John Eligon runs in the Great Rift Valley of Kenya to experience why it’s the mecca of distance running in the world.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=11, tm_hour=18, tm_min=24, tm_sec=13, tm_wday=0, tm_yday=131, tm_isdst=0)",Training for a Marathon in Kenya | Our reporter John Eligon runs in the Great Rift Valley of Kenya to experience why it’s the mecca of distance running in the world.,0
54,"Before Hantavirus Outbreak, the MV Hondius Attracted ‘a Different Type of Traveler’",Former passengers on the MV Hondius say that the ship was made for wildlife expeditions and that the crew took safety very seriously.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=9, tm_hour=15, tm_min=12, tm_sec=49, tm_wday=5, tm_yday=129, tm_isdst=0)","Before Hantavirus Outbreak, the MV Hondius Attracted ‘a Different Type of Traveler’ | Former passengers on the MV Hondius say that the ship was made for wildlife expeditions and that the crew took safety very seriously.",-1
